0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Debussy: Childrens Corner 5"
1, 0, Copyright_t, "Copyright © 2011 by Bernd Krueger"
1, 0, Text_t, "Bernd Krueger"
1, 0, Text_t, "Très modéré"
1, 0, Text_t, "Erstellt: 2.7.2011\012"
1, 0, Text_t, "Dauer: 2:13 Minuten\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 3, "major"
1, 0, Tempo, 964630
1, 1200, Tempo, 906344
1, 1440, Tempo, 956938
1, 1680, Tempo, 1271186
1, 1920, Tempo, 964630
1, 3120, Tempo, 1048951
1, 3360, Tempo, 996678
1, 3840, Tempo, 972447
1, 4200, Tempo, 819672
1, 4320, Tempo, 956938
1, 5160, Tempo, 831025
1, 5280, Tempo, 964630
1, 5760, Tempo, 1067616
1, 6000, Tempo, 1149425
1, 6120, Tempo, 1704545
1, 6240, Tempo, 1107011
1, 7680, Tempo, 956938
1, 9600, Tempo, 1048951
1, 9720, Tempo, 1372998
1, 9840, Tempo, 949367
1, 13440, Tempo, 1030928
1, 13560, Tempo, 1257862
1, 13680, Tempo, 949367
1, 14861, Tempo, 988468
1, 14919, Tempo, 996678
1, 14957, Tempo, 1005025
1, 14996, Tempo, 1013514
1, 15053, Tempo, 1022147
1, 15092, Tempo, 1030928
1, 15130, Tempo, 1039861
1, 15168, Tempo, 1048951
1, 15226, Tempo, 1058201
1, 15264, Tempo, 1067616
1, 15303, Tempo, 1077199
1, 15360, Tempo, 1219512
1, 15480, Tempo, 1530612
1, 15600, Tempo, 1138520
1, 16800, Tempo, 1244813
1, 17040, Tempo, 1729107
1, 17220, Tempo, 2510460
1, 17280, Tempo, 1719198
1, 18240, Tempo, 972447
1, 19200, Tempo, 956938
1, 22560, Tempo, 910470
1, 22800, Tempo, 953895
1, 23440, Tempo, 1156069
1, 23520, Tempo, 953895
1, 24060, Tempo, 977199
1, 24480, Tempo, 1063830
1, 24880, Tempo, 1562500
1, 24960, Tempo, 1167315
1, 25200, Tempo, 1265823
1, 25440, Tempo, 1178782
1, 26400, Tempo, 1063830
1, 26880, Tempo, 1092896
1, 27120, Tempo, 1123596
1, 27360, Tempo, 1063830
1, 27840, Tempo, 1092896
1, 28080, Tempo, 1145038
1, 28320, Tempo, 1063830
1, 28720, Tempo, 1398601
1, 28800, Tempo, 1219512
1, 28920, Tempo, 1530612
1, 29040, Tempo, 1138520
1, 30240, Tempo, 1244813
1, 30480, Tempo, 1729107
1, 30660, Tempo, 2510460
1, 30720, Tempo, 1719198
1, 31680, Tempo, 980392
1, 32640, Tempo, 956938
1, 34560, Tempo, 956938
1, 35040, Tempo, 956938
